                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.21866,                0.17194,                0.86057,                0.67579,                0.33768,                0.39538,                0.12562,                 2.6616,                 2.6164,                 3.2531,              0.0031195,              0.0031195,              0.0031195
                    141,                 0.2176,                0.17118,                0.86221,                 0.5559,                0.37607,                0.38897,                0.12602,                  2.621,                 2.3472,                  3.261,                0.00307,                0.00307,                0.00307
                    142,                 0.2204,                0.17508,                0.86082,                0.56154,                 0.3623,                0.38586,                0.11613,                 2.7264,                 2.3574,                 3.3371,              0.0030205,              0.0030205,              0.0030205
                    143,                0.21184,                0.17111,                0.85648,                0.66924,                0.39323,                 0.4364,                0.12662,                 2.6069,                 2.3288,                  3.154,               0.002971,               0.002971,               0.002971
                    144,                 0.2177,                0.17172,                0.86026,                0.60747,                0.43888,                0.45034,                0.14186,                 2.5058,                  2.254,                 3.0079,              0.0029215,              0.0029215,              0.0029215
                    145,                0.21257,                0.16815,                0.85746,                0.53638,                0.43741,                0.41686,                0.14892,                  2.411,                 2.2497,                 2.9117,               0.002872,               0.002872,               0.002872
                    146,                0.21279,                0.16783,                0.85649,                0.51649,                 0.4271,                0.40132,                0.13975,                 2.5273,                 2.4346,                 3.0924,              0.0028225,              0.0028225,              0.0028225
                    147,                0.21488,                0.17024,                0.85757,                0.46054,                0.38725,                0.37596,                0.12157,                 2.6829,                 2.6136,                 3.2952,               0.002773,               0.002773,               0.002773
                    148,                0.21619,                0.17119,                0.86053,                0.52534,                0.40059,                0.41335,                0.13242,                 2.5907,                 2.5909,                 3.2123,              0.0027235,              0.0027235,              0.0027235
                    149,                0.20776,                0.16726,                 0.8574,                0.66799,                0.36966,                0.42839,                0.14589,                  2.552,                  2.496,                 3.1312,               0.002674,               0.002674,               0.002674
